id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24224098,Designer Cottage,94355320,Ruth,,Ward 59,-33.97999,18.46121,Entire home/apt,2000,2,49,2022-10-25,0.86,1,243,9,
23826393,Stunning Cape Town Table Mountain and Harbor View,120332307,Christian,,Ward 77,-33.93851,18.43196,Entire home/apt,2009,3,27,2022-12-05,0.47,1,254,8,
24224645,Gorgeous family home in Kenilworth Upper,63696376,Mickey,,Ward 59,-33.99325,18.46103,Entire home/apt,6500,13,0,,,1,90,0,
23832767,Sylvia's Place room1,178927544,Sylvia,,Ward 113,-33.82479,18.49462,Private room,451,2,10,2022-12-03,0.17,1,13,4,
23606226,Villa-House-2 minutes from the beach (Tableview),56022848,Sandro & Mirjam,,Ward 23,-33.81053,18.46961,Entire home/apt,4950,5,6,2022-12-04,0.13,1,311,5,
23833151,City Escapes,137429445,Jenny,,Ward 77,-33.94082,18.4074,Entire home/apt,1500,2,27,2022-02-08,0.47,1,58,2,
23610932,PANDORA's Place,176612118,Maria,,Ward 103,-33.83523,18.69227,Entire home/apt,420,2,37,2022-12-26,0.64,1,181,13,
24230838,Splendour,123002666,In Residence,,Ward 54,-33.9327,18.37653,Entire home/apt,140000,4,0,,,28,0,0,
23833727,"Loft room en suite, with spectacular view.",87425363,Alain,,Ward 77,-33.9358,18.40259,Entire home/apt,1400,2,45,2022-12-14,0.78,1,254,5,
24230850,21 Nettleton,277289193,Dirk,,Ward 54,-33.93301,18.37914,Entire home/apt,190000,1,0,,,7,333,0,
23619729,Camelot in Constantia,153898145,Jacqui,,Ward 62,-34.01778,18.44364,Entire home/apt,1228,1,81,2022-12-01,1.40,1,268,17,
23638629,"Beautiful, big, entertaining family home",94819031,Cols & Grant,,Ward 58,-33.97013,18.49106,Entire home/apt,5500,7,3,2022-01-04,0.06,1,257,1,
23846266,THE BIRDS HOLIDAY ACCOMMODATION,178792969,Russell,,Ward 67,-34.05111,18.50619,Entire home/apt,630,2,12,2022-03-05,0.21,2,322,1,
